pin,household_id,zipcode,blockgroup,lat,lon,zone,liveyearround,liveparttime,everhit,howmanyhits,worry,timesevac,expectedmoreorless,evacuated,whenleft,advisedtogo,samechoice,evacpwithnote,evacpwithoutnote,yearborn,sex,hispanic,race,edu,income,ideology,party,elevation,milestocoast
14181409,81409,06357,1,41.3075619999999,-72.2330319999999,A,2,1,2,2,5,0,3,NA,NA,2,1,5,5,1956,1,2,3,8,5,4,3,83.4906847579956,0.3446418028578191
14181464,81464,06340,1,41.321391,-72.060734,A,1,1,1,3,4,0,3,2,NA,2,1,2,2,1943,1,2,3,5,4,4,3,6.829086303710938,0.08860433263741414
14181706,81706,06854,1,41.082728,-73.415707,A,1,1,1,2,6,0,5,2,NA,2,1,1,1,1962,1,2,3,4,4,3,6,4.116401195526123,0.10974766408226785
14181892,81892,06615,3,41.1765759999999,-73.1447749999999,A,1,1,1,12,7,0,3,2,NA,2,1,3,1,1923,2,2,3,4,2,3,2,2.663517713546753,0.7076780105595674
14181969,81969,06824,3,41.1302609999999,-73.269506,A,1,NA,1,5,7,0,5,2,NA,2,1,4,1,1955,1,2,3,7,2,4,5,13.14379501342773,0.23133206097962186
14182074,82074,06902,2,41.041733,-73.5233599999999,A,1,NA,1,0,6,2,1,1,1,1,1,5,3,1956,1,2,3,9,6,1,2,3.613641738891602,0.03911544479599323
14182218,82218,06357,2,41.309925,-72.209538,A,1,1,1,3,2,0,5,2,NA,1,1,4,NA,1950,2,2,3,7,2,3,2,8.718396186828613,0.31901239401501275
14182263,82263,06460,4,41.187711,-73.090373,A,1,1,1,5,6,1,5,1,1,1,3,3,3,1985,1,1,5,7,4,2,2,4.258816719055176,0.08318668262698269
14182308,82308,06475,1,41.283119,-72.417918,A,1,1,1,2,7,2,3,1,2,1,1,5,4,1949,2,2,3,8,3,2,2,4.123468399047852,0.07684664782137221
14182367,82367,06443,3,41.2849709999999,-72.5863039999999,A,1,1,1,2,5,2,4,1,2,3,1,NA,NA,1924,2,2,3,4,1,4,3,8.829997062683105,0.46961054575691
14182383,82383,06605,3,41.1551109999999,-73.228452,A,1,1,1,1,3,0,3,2,NA,2,1,4,2,1969,1,2,3,8,5,3,2,5.369670867919922,0.2348032859353627
14182489,82489,06340,1,41.3233329999999,-72.058851,A,1,1,1,2,5,0,2,2,NA,2,2,3,2,1943,2,2,3,8,4,3,3,11.11983776092529,0.13793293506666676
14182595,82595,06405,2,41.278056,-72.813845,A,1,1,1,4,5,0,4,2,NA,2,1,4,2,1955,2,2,7,9,4,2,2,11.22907257080078,0.19722972404262243
14182745,82745,06460,2,41.211796,-73.0216,A,1,1,1,4,4,0,5,2,NA,3,3,3,3,1962,2,2,3,8,4,2,3,3.045714139938354,0.14069910200448632
14183129,83129,06604,1,41.165519,-73.194383,A,1,1,1,0,5,3,4,1,2,1,4,2,2,1985,1,2,2,8,2,3,6,5.187828540802002,0.3379525465547778
14183164,83164,06460,2,41.2295319999999,-72.9968559999999,A,1,1,1,4,6,0,5,2,NA,2,2,3,1,1947,2,2,3,4,3,3,3,6.016633033752441,0.20619579175748953
14183299,83299,06512,5,41.247084,-72.892774,A,1,1,1,2,7,0,3,2,NA,1,3,3,2,1943,2,2,3,5,4,4,3,3.953515768051147,0.1707248814818517
14183378,83378,06605,4,41.156416,-73.2295299999999,A,1,1,1,7,1,0,4,2,NA,2,1,5,2,1961,2,2,3,6,3,1,3,5.539588451385498,0.17439887183648936
14183422,83422,06460,2,41.210686,-73.055183,A,1,1,2,2,5,0,3,NA,NA,2,1,4,2,1960,2,2,3,7,5,2,5,22.796887529029846,0.10431115457566273
14183484,83484,06475,3,41.2630449999999,-72.385029,A,2,1,1,9,5,1,3,1,2,1,3,4,2,1924,2,2,3,8,3,3,1,3.999064922332764,0.022002236827464692
14183551,83551,06357,1,41.300477,-72.226769,A,1,1,1,2,5,1,2,1,2,1,2,5,2,1936,1,2,3,7,4,3,5,4.108314990997314,0.031943017501551624
14183587,83587,06512,3,41.262323,-72.894005,A,1,1,1,1,2,0,3,2,NA,1,1,2,2,1946,1,2,3,4,3,3,5,4.149422645568848,0.03962962463871159
14183689,83689,06385,1,41.3186279999999,-72.112812,A,2,1,1,3,1,0,3,2,NA,2,2,2,2,1947,1,2,3,4,2,3,5,30.41060066223145,0.3727794379246982
14183846,83846,06516,4,41.257162,-72.951362,A,1,NA,NA,0,3,0,3,2,NA,2,2,4,NA,1949,1,2,3,5,1,3,5,2.404446601867676,0.09632485195176557
14184017,84017,06513,2,41.314029,-72.875484,A,1,1,1,2,4,0,3,2,4,2,1,1,1,1955,1,2,3,4,3,2,3,6.698749542236328,0.20307111808048114
14184066,84066,06405,5,41.283292,-72.8117459999999,A,1,1,1,2,3,1,5,1,1,1,5,3,3,1968,2,2,3,5,3,3,5,6.635722637176514,0.2287001865131843
14184542,84542,06405,3,41.2582019999999,-72.8482869999999,A,1,1,1,2,7,0,5,2,NA,2,2,3,1,1968,2,2,3,4,2,3,5,7.223071098327637,0.0674843667165308
