PIN,Longitude,Latitude,elevation_m
14139204,-72.313414,41.291412,2.7420785427093506
14139322,-73.014084,41.210923,6.095460891723633
14139393,-72.176508,41.351925,7.54384183883667
14139462,-72.828278,41.269908,4.4213128089904785
14139568,-72.893082,41.303613,2.838196277618408
14139635,-72.773592,41.264076,1.5193830728530884
14139771,-73.167483,41.173632,4.783418655395508
14139998,-72.819499,41.266878,6.9492387771606445
14140072,-72.793901,41.260821,2.683837413787842
14140447,-72.873125,41.315123,5.009764671325684
14140515,-71.970413,41.357099,1.3258904218673706
14140854,-72.839275,41.260936,6.157357215881348
14141097,-72.215704,41.310649,12.530227661132812
14141107,-73.168259,41.172398,4.3769378662109375
14141157,-72.944108,41.281496,6.933036804199219
14141483,-72.810141,41.283357,6.824476718902588
14141501,-73.315773,41.122544,3.712871789932251
14141960,-73.128839,41.150692,4.89073371887207
14141974,-72.833014,41.258106,4.057933330535889
14142425,-72.384486,41.274642,3.0524709224700928
14142556,-72.209564,41.313536,2.7027549743652344
14142560,-72.687681,41.285426,1.852376103401184
14142663,-72.872405,41.271691,5.140007495880127
14142962,-72.790511,41.262803,4.140631675720215
14142973,-73.126341,41.189901,4.280235290527344
14143157,-72.797686,41.261208,1.2265069484710693
14143361,-72.425037,41.275841,6.770848274230957
14143499,-73.243071,41.131134,1.2583897113800049
14143589,-73.508858,41.041441,7.032736301422119
14143846,-72.999705,41.223586,3.7952656745910645
14144067,-73.413258,41.083414,2.058349370956421
14144110,-72.502837,41.27039,2.315916061401367
14144200,-73.600598,41.031328,8.689966201782227
14144428,-71.847255,41.353002,25.080371856689453
14144500,-73.233379,41.155521,4.123363018035889
14144546,-73.08178,41.194818,3.0771920680999756
14144651,-73.00302,41.223957,2.6952474117279053
14144727,-72.869807,41.249046,7.181106090545654
14144814,-71.835661,41.37255,8.881418228149414
14144818,-73.056916,41.21906,7.484577178955078
14144908,-73.436156,41.062537,2.925178289413452
14145121,-72.873005,41.315386,5.139431476593018
14145122,-73.444456,41.062266,4.3330841064453125
14145140,-72.975295,41.234347,6.408507823944092
14145174,-72.708561,41.24949,4.5185065269470215
14145229,-72.86536,41.278203,3.374868631362915
14145694,-73.039735,41.204852,9.074800491333008
14145901,-72.799635,41.280198,9.157264709472656
14145954,-73.22337,41.153552,5.511081218719482
14146281,-73.060129,41.208053,2.6973671913146973
14146652,-73.132001,41.152112,5.178393840789795
14146731,-73.413664,41.082584,1.9599850177764893
14146768,-73.228969,41.150091,8.265127182006836
14146787,-71.899015,41.341878,8.40726375579834
14147066,-73.227288,41.15252,3.721104383468628
14147118,-73.230734,41.156281,4.383708477020264
14147136,-73.079938,41.202233,12.71075439453125
14147258,-73.352845,41.110438,2.260568618774414
14147571,-73.226748,41.154325,4.119087219238281
14147959,-73.604212,41.029431,11.987173080444336
14147989,-73.571228,41.030691,3.1876819133758545
14148169,-73.45728,41.056596,2.270050525665283
14148253,-73.119259,41.152935,7.260024070739746
14148281,-72.940868,41.25974,3.011803150177002
14148450,-73.061107,41.209561,4.374929904937744
14148482,-72.23712,41.306922,4.200544834136963
14148492,-72.055376,41.34023,4.251378059387207
14148524,-72.943586,41.259137,3.025510549545288
14148734,-72.592718,41.272369,3.620621919631958
14148834,-72.590674,41.273151,4.459263324737549
14148968,-73.403734,41.093964,3.5377116203308105
14149092,-73.374965,41.115106,5.714404106140137
14149118,-73.137789,41.176581,2.5088233947753906
14149174,-73.415317,41.089024,2.184443473815918
14149241,-73.139317,41.173214,2.1581711769104004
14149420,-73.622555,41.015439,6.271462440490723
14149526,-72.083984,41.35747,5.3558173179626465
14149543,-72.986528,41.236699,2.7830395698547363
14149638,-73.252414,41.132642,1.6550215482711792
14150395,-72.08395,41.35572,5.6724042892456055
14150402,-73.531086,41.031251,2.4190921783447266
14150816,-73.339763,41.126631,13.418341636657715
14150928,-73.104564,41.192933,5.235135555267334
14151655,-72.570157,41.278427,6.8529133796691895
14151888,-73.265043,41.138923,1.690909743309021
14152244,-72.213606,41.299723,10.024038314819336
14152245,-73.125234,41.157304,5.632364749908447
14152257,-72.361714,41.321517,8.233935356140137
14152466,-72.209564,41.313536,2.7027549743652344
14152508,-73.05949,41.209838,4.332509994506836
14152571,-71.899837,41.346239,6.201775550842285
14152732,-73.560559,41.027778,6.009634494781494
14152914,-72.843805,41.266838,4.719425201416016
14152947,-73.315773,41.122544,3.712871789932251
14153550,-72.862272,41.254449,9.120606422424316
14153668,-73.085518,41.19127,2.396054744720459
14153925,-72.049084,41.340719,3.006532669067383
14153943,-72.554394,41.277684,4.214839935302734
14154169,-72.873027,41.315338,5.337031364440918
14154294,-73.415442,41.091105,3.0169761180877686
14154338,-73.354627,41.109215,2.786623954772949
14154391,-73.400196,41.097709,4.617544174194336
14154787,-72.697804,41.256872,17.173158645629883
14154969,-73.117813,41.156493,7.225241661071777
14155365,-72.807905,41.269096,5.395251274108887
14155542,-72.521072,41.276499,5.08378267288208
14155658,-71.958364,41.359533,14.823169708251953
14155987,-73.5711,41.027333,2.452975034713745
14156010,-72.821667,41.27414,5.995975017547607
14156033,-72.982397,41.236216,3.884681463241577
14156280,-72.848166,41.262069,11.34033203125
14156358,-72.107382,41.315376,6.162088394165039
14156414,-73.270115,41.121472,2.0457427501678467
14156499,-73.400049,41.088378,1.9297525882720947
14156599,-72.14394,41.309894,8.367219924926758
14156800,-72.937157,41.275039,6.292402744293213
14156852,-73.481403,41.063773,4.006867408752441
14157011,-72.98733,41.235099,2.0485408306121826
14157058,-73.227583,41.15677,7.33090877532959
14157097,-72.143401,41.310129,8.840580940246582
14157191,-73.432959,41.067522,10.362892150878906
14157528,-72.811605,41.269148,9.675313949584961
14157535,-72.186056,41.33681,6.476006507873535
14157700,-73.227939,41.153522,5.433081150054932
14157716,-72.388183,41.264799,3.861665725708008
14157968,-72.96336,41.249621,3.1407172679901123
14157983,-71.943808,41.350461,20.3553409576416
14158113,-73.519552,41.044956,5.1989545822143555
14158122,-72.324165,41.314136,4.465115070343018
14158211,-72.926401,41.298511,3.035801887512207
14158408,-73.478765,41.043322,13.622763633728027
14158528,-73.221034,41.154248,3.226583480834961
14158541,-72.376028,41.278306,2.773435354232788
14158575,-72.378884,41.26669,4.056804180145264
14158739,-72.813391,41.269377,2.503739356994629
