PIN,Longitude,Latitude
14148492,-72.055376,41.34023
14148524,-72.943586,41.259137
14148734,-72.592718,41.272369
14148834,-72.590674,41.273151
14148968,-73.403734,41.093964
14149092,-73.374965,41.115106
14149118,-73.137789,41.176581
14149174,-73.415317,41.089024
14149241,-73.139317,41.173214
14149420,-73.622555,41.015439
14149526,-72.083984,41.35747
14149543,-72.986528,41.236699
14149638,-73.252414,41.132642
14150395,-72.08395,41.35572
14150402,-73.531086,41.031251
14150816,-73.339763,41.126631
14150928,-73.104564,41.192933
14151655,-72.570157,41.278427
14151888,-73.265043,41.138923
14152244,-72.213606,41.299723
14152245,-73.125234,41.157304
14152257,-72.361714,41.321517
14152466,-72.209564,41.313536
14152508,-73.05949,41.209838
14152571,-71.899837,41.346239
14152732,-73.560559,41.027778
14152914,-72.843805,41.266838
14152947,-73.315773,41.122544
14153550,-72.862272,41.254449
14153668,-73.085518,41.19127
14153925,-72.049084,41.340719
14153943,-72.554394,41.277684
14154169,-72.873027,41.315338
14154294,-73.415442,41.091105
14154338,-73.354627,41.109215
14154391,-73.400196,41.097709
14154787,-72.697804,41.256872
14154969,-73.117813,41.156493
14155365,-72.807905,41.269096
14155542,-72.521072,41.276499
14155658,-71.958364,41.359533
14155987,-73.5711,41.027333
14156010,-72.821667,41.27414
14156033,-72.982397,41.236216
14156280,-72.848166,41.262069
14156358,-72.107382,41.315376
14156414,-73.270115,41.121472
14156499,-73.400049,41.088378
14156599,-72.14394,41.309894
14156800,-72.937157,41.275039
14156852,-73.481403,41.063773
14157011,-72.98733,41.235099
14157058,-73.227583,41.15677
14157097,-72.143401,41.310129
14157191,-73.432959,41.067522
14157528,-72.811605,41.269148
14157535,-72.186056,41.33681
14157700,-73.227939,41.153522
14157716,-72.388183,41.264799
14157968,-72.96336,41.249621
14157983,-71.943808,41.350461
14158113,-73.519552,41.044956
14158122,-72.324165,41.314136
14158211,-72.926401,41.298511
14158408,-73.478765,41.043322
14158528,-73.221034,41.154248
14158541,-72.376028,41.278306
14158575,-72.378884,41.26669
14158739,-72.813391,41.269377
14158919,-72.794369,41.2798
14158991,-73.058821,41.210138
14159395,-72.679289,41.256415
14159545,-72.808126,41.258035
14159548,-73.060672,41.211395
14159566,-72.641281,41.284328
14159653,-72.142037,41.310091
14159824,-72.936068,41.266281
14159989,-73.233379,41.155521
14160091,-72.887707,41.245303
14160323,-72.207246,41.306207
14160367,-72.550081,41.278566
14160378,-72.869395,41.251336
14160419,-72.382116,41.265468
14160631,-71.95912,41.365319
14160858,-73.137083,41.184383
14160908,-72.47938,41.271875
14161118,-71.845625,41.356297
14161476,-73.566784,41.027117
14161553,-73.143652,41.17825
14161691,-72.106745,41.329459
14161764,-72.46971,41.276636
14161779,-73.547672,41.034961
14161823,-73.227699,41.156688
14161824,-73.599693,41.040699
14161861,-72.171795,41.35469
14162101,-73.226755,41.158884
14162121,-73.131332,41.149975
14162289,-72.399748,41.282419
14162304,-73.595618,41.034716
14162618,-71.962336,41.348464
14162827,-72.814362,41.267986
14162988,-72.861711,41.2482
14163027,-72.86955,41.247377
14163072,-72.234419,41.306186
14163242,-72.821101,41.261948
14163339,-73.169113,41.17494
14163359,-72.89223,41.262141
14163383,-73.253714,41.138331
14163820,-73.038798,41.214695
14163872,-71.962644,41.356006
14163952,-72.831287,41.261488
14163973,-73.018266,41.209117
14163990,-73.114134,41.157665
14164149,-73.346387,41.117316
14164253,-72.873174,41.315004
14164478,-72.929871,41.281395
14164564,-72.632173,41.277922
14164972,-72.308241,41.31543
14165012,-72.104763,41.317124
14165115,-72.871185,41.250951
14165173,-72.824969,41.265805
14165219,-72.790836,41.291425
14165398,-71.842006,41.343539
14165525,-73.382831,41.101731
14165638,-72.877547,41.245912
14165712,-72.809318,41.287449
14165843,-72.861637,41.248138
14165896,-73.222467,41.163834
14165995,-72.88114,41.311822
14166051,-73.02299,41.217256
14166080,-73.024239,41.208471
14166397,-72.802071,41.269004
14166620,-72.589471,41.279573
14166816,-72.050691,41.341679
14166838,-72.137977,41.324172
14166847,-72.945167,41.2609
14166864,-72.825025,41.265521
14166946,-73.02149,41.209065
14167263,-73.222806,41.16587
14167333,-73.243661,41.143878
14167409,-72.995182,41.244909
14167774,-73.414541,41.087771
14167793,-72.877216,41.328672
14167894,-73.407725,41.099572
14168108,-73.434121,41.057627
14168313,-72.234703,41.301699
14168694,-72.205326,41.313746
14168851,-72.444425,41.280072
14169211,-73.547921,41.030778
14169322,-73.169656,41.179292
14169338,-72.124649,41.30992
14169660,-72.209777,41.29532
14169720,-72.135593,41.331717
14169788,-72.140834,41.330466
14170081,-72.217679,41.305419
14170135,-72.528187,41.27492
14170285,-73.609642,41.021171
14170368,-73.596504,41.04206
14170405,-73.196166,41.167885
14170524,-73.273,41.133171
14170657,-72.951362,41.257162
14170964,-73.25403,41.138419
14171014,-73.223175,41.153833
14171194,-73.020699,41.211634
14171270,-72.485331,41.28125
14171350,-72.937235,41.270214
14171535,-73.188185,41.167338
14171758,-72.396485,41.282194
14171840,-73.104174,41.220593
14171851,-73.39882,41.097399
14171919,-72.825031,41.274495
14171948,-72.873174,41.315004
14172005,-73.400196,41.097709
14172153,-72.359978,41.287321
14172209,-73.591739,41.015082
14172405,-71.958805,41.353452
14172418,-73.372606,41.097371
14172472,-73.441053,41.06344
14172574,-73.221996,41.165897
14172621,-73.547933,41.032931
14172654,-72.964289,41.259514
14173072,-72.94354,41.268304
14173096,-73.142883,41.175979
14173210,-72.878727,41.248938
14173328,-72.378152,41.284893
14173537,-72.935847,41.266478
14173561,-73.495196,41.056995
14173658,-73.040941,41.211822
14173688,-72.874422,41.385773
14173934,-73.136146,41.184667
14173977,-73.240484,41.144332
14174031,-72.598068,41.269944
14174045,-71.880903,41.357833
14174058,-72.07078,41.320761
14174108,-72.485889,41.274632
14174216,-72.176926,41.357367
14174456,-73.015394,41.205092
14174489,-71.852318,41.356296
14174803,-72.384594,41.282456
14174965,-72.99056,41.227293
14175001,-72.873222,41.246214
14175549,-72.519945,41.274022
14175757,-72.495662,41.289511
14175797,-72.871979,41.3179
14175917,-72.32858,41.300896
14176084,-73.52948,41.035132
14176144,-73.117375,41.198357
14176195,-72.893228,41.266707
14176327,-73.014834,41.2065
14176611,-73.569743,41.016039
14176622,-73.216864,41.164448
14176681,-72.312685,41.292086
14176723,-73.442278,41.065794
14176786,-73.250061,41.131996
14176853,-72.961712,41.257834
14177042,-73.405996,41.098465
14177060,-72.648138,41.28555
14177196,-73.548075,41.040263
14177219,-72.828524,41.269314
14177766,-73.281977,41.135783
14177864,-73.456935,41.056877
14177909,-72.367218,41.327275
14178121,-72.670447,41.278663
14178127,-72.896282,41.245616
14178157,-71.96738,41.354557
14178630,-72.105638,41.32492
14178811,-72.875267,41.314064
14178850,-72.89416,41.255203
14179008,-72.187499,41.356071
14179016,-72.05061,41.336473
14179104,-73.271998,41.150917
14179129,-72.818132,41.272025
14179179,-72.872075,41.268731
14179242,-72.323774,41.334195
14179298,-71.836074,41.37647
14179359,-72.949922,41.28637
14179448,-73.445458,41.073643
14179527,-72.907683,41.317913
14179737,-72.935939,41.288903
14179827,-71.967051,41.325678
14179993,-72.211696,41.296654
14180110,-73.132753,41.181588
14180223,-73.493963,41.05677
14180318,-73.438384,41.064382
14180404,-73.315773,41.122544
14180532,-73.057665,41.208289
14180742,-72.062101,41.322773
14180759,-71.945278,41.352695
14181047,-73.135499,41.177572
14181225,-72.593961,41.27046
14181367,-72.86317,41.245958
14181409,-72.233032,41.307562
14181464,-72.060734,41.321391
14181706,-73.415707,41.082728
14181892,-73.144775,41.176576
14181969,-73.269506,41.130261
14182074,-73.52336,41.041733
14182218,-72.209538,41.309925
14182263,-73.090373,41.187711
14182308,-72.417918,41.283119
14182367,-72.586304,41.284971
14182383,-73.228452,41.155111
14182489,-72.058851,41.323333
14182595,-72.813845,41.278056
14182745,-73.0216,41.211796
14183129,-73.194383,41.165519
14183164,-72.996856,41.229532
14183188,-73.247378,41.145756
14183299,-72.892774,41.247084
14183378,-73.22953,41.156416
14183422,-73.055183,41.210686
14183484,-72.385029,41.263045
14183551,-72.226769,41.300477
14183587,-72.894005,41.262323
14183689,-72.112812,41.318628
14183846,-72.951362,41.257162
14184017,-72.875484,41.314029
14184066,-72.811746,41.283292
14184542,-72.848287,41.258202
14184602,-72.39092,41.284126
14184607,-72.434244,41.280389
14184991,-73.442347,41.069495
14185209,-72.215128,41.318666
14185232,-72.55266,41.278085
14185278,-73.402153,41.09336
14185343,-73.40168,41.097776
14185489,-73.176574,41.180808
14185546,-73.188412,41.167758
14185892,-72.137415,41.340999
14186033,-72.891003,41.306377
14186034,-73.381872,41.103572
14186065,-72.894825,41.25288
14186074,-73.561988,41.019663
14186455,-73.242394,41.137224
14186457,-72.892278,41.25872
14186478,-72.47967,41.275017
14186543,-71.850638,41.358106
14186817,-72.944815,41.273328
14186922,-72.369235,41.300387
14186940,-73.135291,41.175462
14187194,-72.101522,41.350177
14187264,-72.848763,41.258034
14187389,-72.289862,41.287528
14187466,-72.807253,41.257993
14187509,-72.091548,41.327124
14187627,-72.579645,41.281471
14187784,-72.326658,41.314408
14187819,-72.001683,41.331361
14187857,-73.080107,41.197495
14187911,-71.843859,41.35824
14188068,-73.222356,41.163951
14188127,-73.13994,41.174483
14188133,-71.875287,41.360814
14188290,-73.26922,41.13399
14188594,-73.644751,41.007559
14188638,-72.525896,41.273009
14188649,-72.951362,41.257162
14188721,-72.007249,41.321868
14188822,-72.792022,41.261148
14189020,-72.95119,41.258931
14189126,-73.016017,41.208806
14189177,-73.370713,41.128045
14189234,-73.417448,41.102077
14189347,-73.223669,41.162312
14189871,-72.98704,41.236571
14189881,-73.024563,41.216901
14190139,-72.171796,41.334812
14190173,-72.403731,41.285776
14190328,-72.29206,41.289068
14190441,-72.896447,41.252272
14190674,-71.964605,41.357996
14190870,-72.848498,41.258731
14190874,-72.939006,41.263069
14191113,-72.137415,41.340999
14191115,-71.845334,41.343832
14191158,-73.566299,41.025011
14191322,-73.286272,41.137862
14191365,-73.348971,41.112313
14191414,-72.875426,41.245762
14191521,-73.023418,41.209876
14191642,-73.44049,41.066803
14191729,-73.199137,41.165645
14191980,-72.206599,41.315736
14192073,-73.399579,41.099168
14192217,-72.685862,41.268352
14192395,-72.094832,41.352886
14192397,-73.135864,41.182774
14192459,-73.359105,41.115677
14192462,-73.127279,41.183807
14192649,-71.963458,41.338373
14192720,-72.952993,41.290357
14192781,-72.966232,41.247079
14192813,-73.545358,41.061062
14192919,-73.521125,41.027229
14192945,-73.292094,41.129283
14193245,-73.260261,41.137191
14193375,-72.022089,41.341564
14193429,-73.363574,41.130339
14193548,-71.964038,41.356058
14193638,-73.086278,41.189882
14193647,-71.990119,41.325502
14193720,-73.117627,41.161246
14193766,-73.302143,41.126144
14193792,-73.232661,41.144006
14193935,-73.129275,41.154062
14194101,-73.222227,41.165418
14194270,-72.094984,41.313014
14194328,-73.59416,41.040544
14194554,-72.93093,41.294237
14194585,-73.090559,41.186218
14194757,-71.970448,41.356652
14194871,-72.306192,41.289342
14194916,-72.753112,41.267331
14194948,-73.531962,41.032552
14194958,-73.269085,41.13534
14195343,-71.835191,41.372076
14195360,-72.258703,41.29592
14195571,-72.099541,41.336161
14195575,-73.526181,41.034307
14195703,-72.446406,41.282462
14195736,-73.219128,41.154249
14195798,-71.880537,41.359612
14195892,-72.900165,41.268446
14195942,-73.503394,41.054343
14195953,-73.039372,41.215397
14195962,-73.360529,41.11616
14195986,-72.276643,41.289514
14196038,-72.627276,41.282018
14196110,-73.036382,41.207715
14196271,-72.520249,41.273048
14196286,-73.102037,41.196379
14196394,-73.02149,41.209065
14196514,-73.226256,41.149418
14196550,-73.133499,41.171606
14196689,-72.994954,41.245025
14196764,-73.562269,41.026136
14196820,-73.117111,41.215927
14197003,-72.402126,41.281268
14197039,-72.292534,41.286
14197239,-72.368645,41.289258
14197248,-73.44301,41.070644
14197515,-72.549204,41.280392
14197926,-72.817471,41.27819
14197931,-72.862389,41.254778
14198027,-73.127945,41.180813
14198064,-72.20325,41.316502
14198198,-73.127497,41.149367
14198397,-73.415408,41.088911
14198998,-72.834254,41.25328
14199225,-73.258895,41.123481
14199673,-72.650633,41.299291
14199759,-73.592074,41.030506
14199772,-72.094102,41.329629
14199982,-72.141315,41.313284
14210589,-72.9113,41.318339
14210615,-72.895566,41.305212
14210786,-73.157537,41.182496
14210916,-72.956058,41.266522
14210946,-72.916987,41.310976
14210990,-72.865742,41.279555
14211437,-73.295175,41.139268
14211868,-73.535988,41.054194
14211988,-73.048553,41.229451
14212398,-73.402955,41.103869
14212693,-73.536167,41.041645
14212744,-72.947791,41.278406
14212745,-73.203235,41.176726
14212895,-72.947144,41.277311
14213177,-73.402508,41.102809
14213182,-73.051633,41.228011
14213428,-72.95663,41.329391
14213564,-72.380798,41.289135
14214290,-72.946707,41.275117
14214671,-72.871408,41.280253
14214854,-72.376177,41.295081
14214858,-73.230556,41.172114
14214898,-72.902128,41.309155
14214965,-72.377834,41.292853
14215502,-73.594581,41.046219
14215744,-72.68242,41.282258
14215993,-72.771157,41.276463
14216372,-72.145548,41.348115
14216731,-73.539543,41.046283
14216965,-72.444442,41.285215
14217122,-73.534054,41.057445
14217277,-73.537282,41.056913
14217315,-72.031975,41.342901
14217851,-72.956758,41.260469
14218185,-73.420448,41.091332
14218358,-72.022998,41.350014
14218378,-73.592386,41.043225
14218543,-72.899802,41.33704
14218582,-73.219029,41.177705
14218923,-73.117913,41.212728
14218993,-72.956338,41.328713
14219493,-71.866585,41.362412
14219762,-73.0562,41.225779
14219984,-73.536059,41.056715
14220018,-73.355541,41.125649
14220191,-73.136653,41.19241
14220198,-73.365293,41.125436
14220330,-73.291649,41.137776
14220339,-73.53511,41.044529
14220341,-72.025884,41.345176
14220622,-73.454377,41.071595
14220631,-73.53495,41.054744
14220919,-73.049559,41.229798
14220984,-73.156714,41.182029
14221030,-72.946199,41.264747
14221037,-72.918536,41.305788
14221073,-72.617118,41.278279
14221128,-72.908293,41.322636
14221607,-73.536897,41.057803
14221989,-72.871849,41.282338
14222223,-73.213001,41.172818
14222370,-73.537936,41.043428
14222690,-72.911952,41.319306
14222902,-73.268565,41.145064
14223619,-72.940902,41.295897
14223731,-72.958033,41.329947
14223927,-72.947712,41.278546
14223944,-72.954257,41.273891
14224173,-73.062545,41.217792
14224332,-73.10997,41.197395
14224590,-73.118911,41.208703
14225475,-73.479055,41.065483
14225503,-72.862716,41.371058
14225774,-72.92529,41.304199
14225920,-73.216028,41.172534
14225929,-72.933108,41.2884
14226320,-72.937373,41.275148
14226898,-73.232931,41.167347
14226941,-73.521692,41.051769
14227034,-73.535728,41.044245
14227104,-73.538658,41.055726
14227131,-72.862716,41.371058
14227241,-73.269625,41.157086
14227324,-72.91559,41.301828
14227402,-73.535728,41.044245
14227780,-73.328987,41.132647
14227863,-72.022247,41.349024
14227879,-72.953049,41.269684
14228331,-72.915194,41.303657
14228388,-73.102766,41.196031
14228728,-73.269117,41.146784
14228807,-72.917232,41.308495
14228828,-73.000324,41.235112
14228954,-72.881917,41.284284
14228986,-72.931492,41.288222
14229131,-72.380972,41.287945
14229281,-72.44422,41.285403
14229514,-72.626798,41.28607
14229618,-72.91973,41.30297
14229686,-72.919853,41.305012
14230143,-73.298452,41.131682
14230193,-73.535711,41.055316
14230576,-73.000177,41.234369
14230795,-72.024957,41.344823
14230890,-73.163896,41.179429
14230924,-71.913227,41.357978
14230980,-73.165569,41.17646
14231105,-72.879172,41.277823
14231503,-73.529724,41.038068
14232216,-73.224622,41.168968
14232334,-73.167713,41.183185
14232831,-73.524278,41.044069
14233053,-72.943592,41.274532
14233339,-73.156122,41.181054
14233594,-73.636935,41.0089
14233747,-73.123511,41.202966
14234046,-73.525427,41.051864
14234358,-73.095626,41.191046
14234468,-73.411377,41.11858
14234469,-73.536168,41.055643
14234532,-72.946272,41.279015
14234536,-73.418828,41.097795
14234558,-73.134225,41.18685
14234674,-72.913108,41.320108
14234781,-73.542187,41.040954
14234841,-72.920771,41.305554
14234999,-73.180243,41.182451
14235136,-72.95663,41.329391
14235248,-72.929002,41.301163
14235344,-72.916822,41.306777
14235377,-72.949552,41.264241
14235402,-72.891756,41.306884
14235579,-72.930865,41.285497
14235831,-73.134171,41.186998
14236763,-72.901868,41.314828
14236809,-72.946827,41.275193
14237490,-72.955567,41.264448
14237654,-73.543743,41.059564
14237659,-73.526962,41.039663
14238115,-73.214192,41.175118
14238168,-73.130221,41.185064
14238243,-72.955965,41.268714
14238686,-72.874861,41.322371
14238834,-73.296223,41.139466
14239115,-72.962195,41.263677
14239478,-73.085305,41.193608
14240855,-73.540943,41.05077
14241125,-73.128058,41.191324
14241234,-72.815162,41.281921
14241362,-73.427554,41.079683
14241394,-73.613662,41.030693
14241531,-72.671558,41.285366
14241548,-72.938233,41.271262
14241556,-73.535055,41.044524
14241678,-73.330873,41.13195
14241772,-73.542011,41.058899
14242039,-73.476316,41.068489
14242285,-73.147359,41.182911
14242355,-73.107539,41.198651
14243371,-72.832012,41.270663
14243542,-72.875707,41.279986
14243605,-73.203643,41.17303
14243616,-73.119055,41.207176
14243645,-73.51561,41.043749
14243832,-72.957457,41.328521
14244146,-72.902791,41.313075
14244402,-73.536059,41.056715
14244602,-73.169673,41.182974
14244889,-72.908762,41.318414
14245187,-73.191794,41.184119
14245198,-72.951927,41.271921
14245282,-72.028717,41.343604
14245342,-73.268601,41.144483
14245551,-73.130367,41.185185
14245650,-73.090729,41.190061
14245770,-72.929002,41.301163
14246078,-73.29639,41.14182
14246410,-73.126971,41.200322
14246439,-73.542187,41.040954
14246621,-72.944031,41.275605
14247125,-72.949395,41.278726
14247251,-72.916476,41.309512
14247264,-73.537282,41.056913
14247472,-72.949761,41.268143
14248070,-73.542816,41.043328
14248186,-72.879157,41.284356
14248804,-72.496463,41.282387
14249149,-72.917347,41.303733
14249175,-72.919566,41.306351
14249333,-73.564707,41.037357
14249346,-73.536897,41.057803
14249540,-73.535728,41.044245
14249965,-72.918439,41.302816
14249966,-71.917412,41.358736
14250012,-72.863702,41.275728
14250227,-72.898463,41.331116
14250444,-72.951551,41.270973
14250546,-72.628488,41.285643
14250605,-72.937101,41.271533
14251041,-72.938903,41.272222
14251049,-72.920156,41.303955
14251076,-72.915372,41.320764
14251308,-72.912375,41.308783
14251470,-72.030604,41.342681
14251503,-72.027265,41.34465
14251652,-72.997465,41.233989
14251728,-72.884551,41.278928
14251862,-73.529885,41.037279
14252116,-72.929002,41.301163
14253318,-73.601076,41.042744
14253363,-72.145787,41.343237
14253675,-72.76917,41.282115
14253814,-72.949056,41.276714
14253864,-73.248506,41.156556
14253936,-73.189925,41.180382
14254407,-73.22005,41.177006
14254609,-72.027106,41.34545
14255036,-72.955727,41.265415
14255669,-72.922944,41.304705
14255719,-73.090298,41.190482
14255898,-73.224601,41.175131
14255950,-73.543743,41.059564
14256579,-73.085732,41.195619
14256710,-72.911144,41.317052
14257017,-72.819239,41.279352
14257055,-72.92584,41.305845
14257180,-73.364363,41.127768
14257216,-73.352686,41.126587
14257270,-72.953056,41.267486
14257366,-72.916215,41.303789
14257402,-72.816166,41.283346
14257814,-73.220758,41.176766
14257861,-72.932905,41.288229
14257936,-73.126807,41.200658
14258447,-73.092117,41.186834
14258933,-72.872788,41.280452
14259156,-73.529885,41.037279
14259250,-73.52529,41.038402
14259656,-72.956601,41.273963
14260014,-72.376177,41.295081
14260141,-72.59672,41.28299
14260562,-72.899521,41.308649
14260569,-73.182571,41.18574
14260843,-73.542187,41.040954
14261419,-73.160197,41.176881
14261673,-72.600401,41.275764
14261717,-73.083436,41.197137
